段階	検証ID	検証内容	初期設定（前提データ）	操作・前提条件	使用する検証データ	期待値	スクショファイル名	スクショ（撮るもの）	スクショ貼付欄	画面	確認ポイント	ヘルプページ該当箇所	対応受入条件	実際の値	判定	所見・気づき	実施日	実施者	備考	計算根拠
準備	S-01	検証環境とモックの確認		①ステージングに会社スコープの管理者でログイン ②期待値の根拠として仕様モック https://suguru789987.github.io/rakmy-employee-mgmt-spec/ を開く	（追加のデータ投入なし）	"【確認場所：サイドバー「従業員管理」（PCはホバー展開）／仕様モックのトップ】
サイドバーに「従業員管理」が表示される／モックのトップが表示される"	S-01.png	サイドバーに「従業員管理」が展開された状態		サイドバー「従業員管理」（PCはホバー展開）／仕様モックのトップ	メニューが出るか／モックが開くか	（準備のため対応なし）	-						本番rakmy・rakmy_serverには接触しない。モックとの差はすべて所見に記録	
準備	S-02	★算式の確定（2026-08-03 確定済み）		確定内容を確認（判断1・5・6＝2026-08-03、判断7・8・9＝2026-08-07）：判断1＝所定労働日割／判断5＝振替（応援先に加算し所属店舗から差引）／判断6＝交通費は独立費目（通勤=所属店舗・ヘルプ先=応援先）。あわせて確定中の判断7（深夜割増1.5）・8（みなし超過1.25・未達は減額なし）・9（端数は所属店舗に寄せる）を確認	（追加のデータ投入なし）	"【確認場所：画面操作なし】
6件が確定し文書化されている（仕様書 第5部 11-A・11-C）"		不要（文書で確認）		（画面操作なし・仕様書 第5部 11-A/11-C の確認）	6件の算式が確定・文書化されているか	（準備のため対応なし）	AC-10 AC-11 AC-12 AC-15						仕様書 第5部。8/7 第1回ジャッジで判断7・8・9・10を確定済み	計算：算式どおりの金額／原則③：人件費は働いた店舗に付ける／計算：月中改定の日割り／原則③：交通費の帰属
準備	S-03	★サンプルデータの再作成（2026-08-03 実施済み）	S-02	確定した算式で作り直した data/05（月次）・data/06（日次54行）を確認する	投入する：05・06	"【確認場所：画面操作なし】
全行が算式で再現でき、日次合計＝月次・店舗別合計＝全社（差0円）"		不要（データで確認）		（画面操作なし・data/05・06 の確認）	算式で全行が再現できるか	（準備のため対応なし）	AC-10						再作成済み。EMP-001=338,000／EMP-002=285,250／EMP-003=144,000／EMP-005=382,812／EMP-007=311,250	計算：算式どおりの金額
準備	S-04	マスタの投入	S-01	data/01（店舗5）→ data/02（従業員12・従業員IDが付番済み）→ data/03（ヘルプ先交通費8行）→ data/20（外部ID対応表13行）の順に投入	投入する：01・02・03・20	"【確認場所：従業員一覧（サイドバー → 従業員管理 → 従業員一覧）】
従業員一覧に12名が表示される"	S-04.png	従業員一覧に12名が表示された全体		従業員一覧（サイドバー → 従業員管理 → 従業員一覧）	12名が一覧に出るか	（準備のため対応なし）	-						EMP-001 月給320,000/S01/ヘルプ先S02;S03/所定160h/みなし20h ｜ EMP-002 月給280,000/S01/ヘルプ先なし ｜ EMP-003 時給1,200/S02/ヘルプ先S01/120h ｜ EMP-005 月給350,000/S03/ヘルプ先S01;S05/160h/30h ｜ EMP-007 月給300,000/S04 ｜ 正社員6・パート3・アルバイト3／月給6・時給6	
準備	S-05	履歴と実績の投入	S-03 S-04	data/04（履歴5行）・data/05（月次5行）・data/06（日次95行）・data/13（2026-05の全稼働日95行）を投入	投入する：04・05・06・13	"【確認場所：設定変更履歴一覧／給与実績一覧（月別実績タブ）】
履歴に適用済3・予約中1が入る／給与実績一覧に5名分が表示される"	S-05.png	設定変更履歴（予約中の行が見える）／給与実績一覧 月別実績の5行		設定変更履歴一覧／給与実績一覧（月別実績タブ）	履歴に予約中1件・実績5名が出るか	（準備のため対応なし）	-						data/13の合計は data/05 と一致（EMP-001 総労働172h・ヘルプ22h・深夜6h／EMP-003 120h・20h・0h／EMP-005 185h・35h・10h）	
準備	S-06	取込用ファイルの用意	S-04	data/07（KOT）・08（ジョブカン）・09（異常系）・10（給与設定）・11（先頭説明行あり）を手元に用意し、data/12（設定未入力のEMP-015）を投入。あわせて data/16・17（前回取込の差分確認用）を用意。data/18（列マッピング表のテンプレ）・data/19（同じ従業員コードが2行あるCSV）も用意	投入する：取込CSV一式（07〜12・16〜19）	"【確認場所：画面操作なし】
5ファイルがアップロード可能な状態／設定が欠落した従業員が1名いる"		不要（ファイル準備のみ）		（画面操作なし・取込ファイルの用意）	5ファイルがアップロードできる状態か	（準備のため対応なし）	-						09は4行が別種のエラー（コード欠落／給与額-50,000／店舗S99／給与額abc・雇用区分「契約社員」） ／ 16・17は T-N02（前回差分表示）で使用 ／ 18は T-I19（マッピング表の一括登録）で使用	
準備	S-07	計算の初期値	S-04	基礎時給（月給÷所定労働時間）・対象月の暦日数と所定労働日数・検証で使う改定値 を確定しておく	14 勤務データ 2026-06 月中改定	"【確認場所：画面操作なし】
以降の計算ケースで同じ入力値を使う"		不要（値の確定のみ）		（画面操作なし・基礎時給と所定労働日数の確定）	基礎時給と所定労働日数が確定しているか	（準備のため対応なし）	-						基礎時給 EMP-001=2,000／EMP-002=1,750／EMP-005=2,187.5／EMP-007=1,875 ｜ 2026-05=暦31日・所定21日（1〜9日に6日）／2026-06=暦30日・所定22日（1〜10日に8日） ｜ 改定値 EMP-001 320,000→340,000（適用日 2026-06-11／2026-05-10／2026-08-01）・EMP-003 1,200→1,250（2026-06-16）／勤務は data/14	
準備	S-08	締め状態の初期化	S-05	2026-05が未締めであることを確認（締め済みなら解除）	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧　→　月別実績タブ】
ボタンが「2026-05 締め」になっている"	S-08.png	給与実績一覧 月別実績（ボタンが「2026-05 締め」＝未締め）		給与実績一覧 → 月別実績タブ → 年月2026-05（締め状態の確認）	2026-05が未締めか	（準備のため対応なし）	-						T-S03で締めた後に T-S04・T-D07・C-008 へ進む	
準備	S-09	移行前の記録	S-01	data/15（突合テンプレート）に、移行前の従業員一覧・直近3か月の給与実績一覧をCSV出力して記入	投入する：15	"【確認場所：従業員一覧（CSVエクスポート）／給与実績一覧 月別実績（直近3か月）】
突合シート M-01〜M-06 が埋まった状態"	S-09.png	移行前の従業員一覧と給与実績一覧（比較の元になるため必須）		従業員一覧（CSVエクスポート）／給与実績一覧 月別実績（直近3か月）	移行前の値を控えたか	（準備のため対応なし）	-						移行前に取らないと後から取得できない。T-Z01は★No-Go判定に直結	
準備	S-10	店長スコープの検証アカウント	S-01	店長スコープ（自店舗のみ）のアカウントを1つ用意し、ログインできることを確認する	（追加のデータ投入なし）	"【確認場所：画面操作なし】
店長でログインでき、従業員管理のメニューが表示される"		不要		（画面操作なし・店長スコープのアカウント用意）	店長アカウントでログインできるか	（準備のため対応なし）	-						T-S07（締めの権限）で使用。権限設定機能（rakmy_server#4750）のリリース範囲に依存するため、用意できない場合はその旨を所見に記録	
準備	S-11	移行リハーサルの段取り	S-09	検証環境で移行を実施できる状態にする（移行スクリプトの実行手順・実行者・実行タイミングを事前に確定）	（追加のデータ投入なし）	"【確認場所：画面操作なし】
移行を検証枠内で実行できる段取りができている"		不要		（画面操作なし・移行スクリプトの段取り）	移行を実行できる状態か	（準備のため対応なし）	-						★T-Z01（No-Go判定）は移行の実施が前提。段取りが無いと当日「実施できず判定不能」になる	
一覧	T-L01	一覧の表示	S-04	従業員一覧を開き、列・バッジ・ソート・0件表示を確認	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員一覧】
12名が表示。12列（名前/従業員コード/所属店舗/ヘルプ先店舗/雇用区分/給与単位/単位給与額/交通費単位/単位交通費/所定労働時間/みなし残業時間/アクション）。雇用区分・給与単位が色分け。EMP-001はヘルプ先2バッジ、EMP-002は空。単位給与額が数値順にソート（1,000→…→410,000）。該当なしで「データはありません。」"	T-L01.png	一覧全体（12行・12列・バッジの色・ソート矢印）と、フィルタで0件にしたときの「データはありません。」		従業員一覧 … 表の12列・雇用区分/給与単位のバッジ・列ヘッダーのソート・0件表示	12列・バッジ・ソート・0件表示	操作手順 ＞ 従業員を探す・削除する	AC-01						月給と時給が同列に混在するため、文字列ソートになっていないこと	移行：既存顧客が壊れない
一覧	T-L08	一覧のフィルタ	S-04 S-05	1段目＝店舗「渋谷店」／雇用区分「正社員」／名前「田中」、2段目＝月「2026-05」／取込データ を順に適用	（投入済み）02 従業員マスタ（一覧の12名）／05 月次給与実績・06 日次給与実績	"【確認場所：従業員一覧】
渋谷店＝3名（EMP-001・002・011）、正社員＝6名、田中＝1名。2段目で対象データが切り替わる"	T-L08.png	1段目と2段目の両方を適用した状態（絞り込み条件と結果件数が同時に写ること）		従業員一覧 … 1段目フィルタ（店舗/雇用区分/名前検索）と2段目フィルタ（月/取込データ）	2段フィルタが効くか	操作手順 ＞ 従業員を探す・削除する	AC-33						1段目（誰を探すか）と2段目（どのデータで見るか）が独立して効くこと	画面：対象を探せる
一覧	T-L06	一覧からの遷移	S-04	右上「従業員登録」「CSVインポート」「設定・実績エクスポート」、2段目「設定取込データへ」、行の詳細アイコン を順に押す。次に店舗フィルタを「渋谷店」にして「この店舗の給与実績一覧へ」「この店舗の設定変更履歴へ」を押す	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員一覧】
5経路すべて到達（従業員登録／設定インポート／設定・実績エクスポート／設定取込データ／従業員詳細）。不通=0
店舗で絞った状態から2経路とも到達し、遷移先が渋谷店で絞り込まれている（絞り込みが引き継がれない=0件）"	T-L06.png	遷移先5画面の到達直後（従業員登録・設定インポート・エクスポート・設定取込データ・従業員詳細）／店舗で絞った従業員一覧と、そこから開いた給与実績一覧・設定変更履歴（絞り込み条件が見える状態）		従業員一覧 … 右上ツールバー「従業員登録」「CSVインポート」「設定・実績エクスポート」／2段目「設定取込データへ」／行末の詳細アイコン	5経路すべて到達するか	操作手順 ＞ 従業員を探す・削除する	AC-30 AC-58						従業員登録は表の右上端にあること	画面：操作が最後まで通る
一覧	T-L10	一覧の削除	S-04	EMP-012（山田 さくら・実績データに含まれない末尾の従業員）の削除アイコン →（a）キャンセル →（b）実行	05 月次給与実績	"【確認場所：従業員一覧】
（a）12名のまま削除されない （b）完了表示のあと11名になる"	T-L10.png	削除の確認ダイアログ／キャンセル後の一覧／実行後の一覧（行が消えたこと）		従業員一覧 … 行末の削除アイコン → 確認ダイアログ	キャンセルで消えない／実行で消えるか	操作手順 ＞ 従業員を探す・削除する	AC-34						確認なしで削除されないこと。★実績データ（data/05）に含まれない従業員を選ぶ。EMP-001〜005を消すと以降の計算ケースが壊れる	データ保全：消える操作は確認を経る
登録	T-R02	登録フォームの項目	S-04	従業員登録を開き、項目と通貨表示を確認（単位給与額に 320000 と入力）	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員登録（従業員一覧 右上「従業員登録」から遷移）】
13項目（名前/従業員コード/所属店舗/ヘルプ先店舗/雇用区分/給与単位/単位給与額/交通費単位/単位交通費/ヘルプ先交通費/所定労働時間/みなし残業時間/適用日付）。¥320,000 と千区切り表示。適用日付は所定労働時間・みなし残業時間の下の行・初期値は当日"	T-R02.png	登録フォーム全体（単位給与額に320,000と入れ、桁区切りが効いている状態）		従業員登録（従業員一覧 右上「従業員登録」から遷移）… 入力フォーム全体と通貨の桁区切り表示	項目の過不足と桁区切り表示	操作手順 ＞ 従業員を登録する	AC-06						適用日付の位置が従業員詳細（T-D01）と一致すること	原則①：当日・過去日は即時
登録	T-R04	ヘルプ先交通費の連動	S-04	ヘルプ先店舗で青山店＋新宿店を選択 →（a）空のまま登録 →（b）新宿店の選択を外す	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員登録】
選択した2店それぞれに交通費欄が出る／（a）必須バリデーションで登録できない／（b）新宿店の欄だけ消え、青山店の入力値は残る"	T-R04.png	ヘルプ先2店選択でヘルプ先交通費欄が出た状態／1店外して欄が消えた状態の2枚		従業員登録 … ヘルプ先店舗の複数選択と、その下に自動表示されるヘルプ先交通費の入力欄	交通費欄が自動で出る／消えるか	操作手順 ＞ 従業員を登録する	AC-15 AC-47						店舗ごとに個別入力できること（1つにまとまっていない）	原則③：交通費の帰属／原則③：交通費も働いた店舗の実費で
