判定レベル	実装マイルストーン	価値MVP	解く課題	条件ID	守る設計	対象画面	確認方法	満たすべき状態	合格基準（定量）	実装の目安（どこまでできていれば合格か）	不合格のときリリースは
L1 MVP必須	実装M1 データ基盤	V1 数字が動かない	P1 過去が動く	AC-02	移行：履歴の起点を作る	従業員設定履歴	操作で確認	すべての従業員に適用日付が付いている	適用日付がNULLの行=0件	移行時に初回レコードを過去日で生成。以降の変更はこの上に積む	条件付きGo不可（AC-03が担保できない）
L1 MVP必須	実装M1 データ基盤	V1 数字が動かない	P1 過去が動く	AC-04	原則①：未来日は予約になる	従業員詳細 → 従業員一覧	操作で確認	保存しても当日までは反映されない	当日時点での反映=0件（一覧は旧値のまま）	設定を「適用日付つきの履歴レコード」として保存し、参照時は基準日で有効行を解決する。上書きしない	不可（本機能の中心価値）
L1 MVP必須	実装M1 データ基盤	V1 数字が動かない	P1 過去が動く	AC-06	原則①：当日・過去日は即時	従業員詳細 → 従業員一覧	操作で確認	保存直後に反映される	反映の遅延=0（再読込で新値）	基準日<=当日の行を有効として即時解決する	不可（通常の変更ができない）
L1 MVP必須	実装M1 データ基盤	V1 数字が動かない	P1 過去が動く	AC-07	原則①：過去は不変	従業員詳細／設定履歴	操作＋実装レビュー	過去の履歴が書き換わらない	履歴が1行増え、既存行の差分=0	履歴テーブルはINSERTのみ。UPDATE/DELETEを行わない	不可（AC-03が連鎖して壊れる）
L1 MVP必須	実装M1 データ基盤	V3 自分で運用できる	P1 原因が追えない	AC-08	原則①：原因を追える（変更ソース）	従業員設定履歴	操作で確認	変更の経路（変更ソース）が履歴に記録され、絞り込めること	【T-H02の②】手動編集／更新予約／CSVインポート(KOT)／CSVインポート(ジョブカン)の4種すべてが記録され、絞り込みできる	履歴に変更ソース列を持ち、更新経路ごとに値を入れる	不可（数字の異常時に切り分けられない）
L1 MVP必須	実装M1 データ基盤	V1 数字が動かない	P1 原因が追えない	AC-09	原則①：適用日と操作日を分ける	従業員設定履歴	操作で確認	「いつから効くか」と「いつ操作したか」が別々に残る	【T-H02の①】予約した行で 変更反映日時 ≠ 編集日時 になる（例：反映8/1・編集6/25）	履歴に適用日付と作成日時の2カラムを持つ	不可（監査・顧客説明に答えられない）
L1 MVP必須	実装M1 データ基盤	V2 数字が実態を表す	データが壊れる	AC-40	データ保全：二重登録を防ぐ	設定インポート／従業員一覧	操作＋実装レビュー	同じ従業員コードが二重に登録されない	二重登録=0件（2回目は更新・件数増加なし）	従業員コードに一意制約。取込はコードをキーにupsert。CSV内の重複行は事前に検出	不可（人件費が二重計上されAC-11が壊れる）
L1 MVP必須	実装M1 データ基盤	V2 数字が実態を表す	P3 店舗別がずれる	AC-47	原則③：交通費も働いた店舗の実費で	従業員登録／従業員詳細	操作＋実装レビュー	ヘルプ先ごとに別々の交通費を設定できる	選んだ店舗数ぶんの入力欄が出る（EMP-001＝2件：S02=700・S03=900）。1つにまとめられない	従業員×ヘルプ先店舗×交通費 を多対多で保持する。従業員に1つの値だけを持たせる実装は不可	不可（AC-15の店舗別計上が成立せず、遠い店ほど持ち出しになる）
L0 リリース不可	実装M2 計算エンジン	V2 数字が実態を表す	P3 店舗別がずれる	AC-11	原則③：人件費は働いた店舗に付ける	人件費実績（月別・実績）	操作＋実装レビュー	店舗別の合計が全社の実績給与と一致する	店舗5店の合計 − 全社 = 0円（1,461,312円）	ヘルプ人件費を「実績給与×ヘルプ時間÷総労働時間」で按分し、端数を所属店舗に寄せる（判断9）。加算のみの実装は不可	★中止（店舗別PLが使えない）
L1 MVP必須	実装M2 計算エンジン	V1 数字が動かない	P1 過去が動く	AC-05	原則①：予約が自動で効く	従業員一覧／設定履歴	操作で確認	適用日を迎えたら自動で切り替わる	適用日00:00以降に新値・ステータスが「適用中」	日次バッチまたは参照時解決のいずれかで、適用日到来を人手なしに反映する	不可（毎日手作業になる）
L1 MVP必須	実装M2 計算エンジン	V2 数字が実態を表す	P2 計算の根拠	AC-10	計算：算式どおりの金額	人件費実績（月別・実績）	操作で確認	実績給与が算式の計算値と一致する	全行で差分=0円（EMP-001=338,000／EMP-002=285,250／EMP-003=144,000／EMP-005=382,812／EMP-007=311,250）	実績給与＝概算給与＋深夜残業代＋みなし超過残業代。交通費は含めない	不可（数字の根拠が説明できない）
L1 MVP必須	実装M2 計算エンジン	V2 数字が実態を表す	P2 月中改定	AC-12	計算：月中改定の日割り	人件費実績（月別・概算）	操作で確認	所定労働日割で按分される	332,727円（320,000×8/22＋340,000×14/22）	判断1＝所定労働日割。分母は当月の所定労働日数。暦日割の実装は不可	不可（予約機能が実用にならない）
L1 MVP必須	実装M2 計算エンジン	V2 数字が実態を表す	P2 計算の根拠	AC-13	計算：時給者	人件費実績（月別・概算）	操作で確認	単価×所定労働時間になる	144,000円（差分0）	時給者は日割り按分ではなく、各勤務日の有効単価で積む	不可（概算が使えない）
L1 MVP必須	実装M2 計算エンジン	V2 数字が実態を表す	P3 店舗別がずれる	AC-14	原則③：ヘルプ人件費	人件費実績（日別）／月別	操作で確認	働いた店舗・その日の有効単価で計算される	按分額が （概算給与＋深夜残業代＋みなし超過残業代）×ヘルプ時間÷総労働時間 と一致し、そこにヘルプ先の交通費を加えた額がヘルプ人件費になる（差分0円）	按分の基礎は交通費を除いた給与部分。交通費は実費なので時間按分しない。ヘルプ先の交通費だけを按分額に足して1つの列に出す	不可（店舗別PLが実態とずれる）
L1 MVP必須	実装M2 計算エンジン	V2 数字が実態を表す	P3 店舗別がずれる	AC-15	原則③：交通費も働いた店舗に付ける	人件費実績（月別・日別）／給与実績一覧	操作で確認	交通費が人件費に含まれ、働いた店舗に計上される	実績給与＝概算給与＋深夜残業代＋みなし超過残業代＋所属店舗の交通費＋ヘルプ先の交通費（差分0円）。ヘルプ先の交通費は応援先に計上され、店舗別合計＝全社（差0円）	一覧とエクスポートに交通費の列を出さない。設定側（単位交通費・ヘルプ先交通費）は入力項目として保持し、実績の計算時に人件費へ合算する	不可（人件費の総額がずれる）
L0 リリース不可	実装M3 締め	V1 数字が動かない	P4 確定できない	AC-16	原則②：締めたら動かない	人件費実績（月別）	操作＋実装レビュー	締め済みの月の数字が動かない	当月の実績給与・総労働時間の差分=0円	締めフラグを持ち、締め済み期間は再計算をスキップする（設定変更・勤怠取込の両方）。スナップショットで固定	★中止（締めの意味が消える）
L1 MVP必須	実装M3 締め	V1 数字が動かない	P4 確定できない	AC-17	原則②：解除で再計算	人件費実績（月別）	操作で確認	保留されていた変更が反映されて再計算される	解除後の実績給与＝改定を反映した計算値（差分0円）	解除で締めフラグを落とし、再計算をキューに入れる	不可（誤りを修正できない）
