段階	検証ID	対応受入条件	検証観点	優先度	検証内容	初期設定（前提データ・従業員設定）	操作・前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	備考
P0_前提	T-P00	-	正常	Must	仕様モックの確認（期待値の根拠）	-	仕様モック https://suguru789987.github.io/rakmy-employee-mgmt-spec/ を開く（古い表示の場合は一度ハードリロード）	トップに全8画面へのナビゲーションが表示される	T-P00.png	index	本プランの期待値はこのモックの動作を正とする。ステージングとの差はすべて所見として記録			公開URL（誰でも閲覧可）。実データ・PIIは含まない
P0_前提	T-P01	-	正常	Must	検証環境の確認	-	ステージング環境のURLを開き、会社スコープの管理者でログイン	ログインでき、サイドバーに「従業員管理」が表示される	T-P01.png	login	本番rakmy・rakmy_serverには接触しない			ガバナンス厳守
P0_前提	T-P02	-	正常	Must	前提データの投入	data/01（店舗5）・data/02（従業員12）・data/03（ヘルプ先交通費8行）	01→02→03の順に投入（店舗が先。店舗未登録だと所属店舗が引けない）	従業員一覧に12名が表示される	T-P02.png	従業員一覧	投入順序を誤ると外部キーで失敗する			以降のすべてのケースの前提
P1_一覧	T-L01	AC-01	正常	Must	初期表示	data/02の12名を投入済み	従業員一覧を開く	パンくず「ホーム - 従業員一覧」。12名が表示される	T-L01.png	従業員一覧	件数が12であること			
P1_一覧	T-L02	AC-01	正常	Must	列の網羅	同上	各行の列を確認	名前/従業員コード/所属店舗/ヘルプ先店舗/雇用区分/給与単位/単位給与額/交通費単位/単位交通費/所定労働時間/みなし残業時間/アクション の12列が存在	T-L02.png	従業員一覧	仕様の列と過不足がないこと			
P1_一覧	T-L03	AC-01	正常	Should	バッジ表示	雇用区分＝正社員6/パート3/アルバイト3、給与単位＝月給6/時給6	雇用区分・給与単位の列を確認	正社員/パート/アルバイトが色分け。月給=濃バッジ、時給=淡グレーバッジ	T-L03.png	従業員一覧	全画面で同じ規則であること（T-Z06と併せて確認）			
P1_一覧	T-L04	AC-01	境界	Should	複数バッジ	EMP-001のヘルプ先=S02;S03、EMP-002=なし	ヘルプ先店舗の列を確認	EMP-001は青山店・新宿店の2バッジ。EMP-002は空欄（「-」等の表現は所見に記録）	T-L04.png	従業員一覧	複数値・空値の両方が崩れないこと			
P1_一覧	T-L05	AC-01	境界	Should	数値ソート	単位給与額＝月給320,000〜410,000と時給1,000〜1,300が混在	単位給与額の列ヘッダをクリック	数値として昇順・降順にソートされる（1,000→1,050→…→410,000）	T-L05.png	従業員一覧	文字列ソート（1,000の次に1,050ではなく320,000が来る等）になっていないこと			月給と時給が同列に混在する点が要注意
P1_一覧	T-L06	AC-30	正常	Must	ツールバー遷移	同上	右上「従業員登録」「CSVインポート」「設定・実績エクスポート」を順に押す	それぞれ 従業員登録／設定インポート／設定・実績エクスポート へ遷移	T-L06.png	従業員一覧	従業員登録は表の右上端に配置されていること			
P1_一覧	T-L07	AC-30	正常	Should	2段目フィルタからの遷移	同上	2段目の「設定取込データへ」を押す	設定取込データ画面へ遷移	T-L07.png	従業員一覧	取込データの右隣に配置されていること			
P1_一覧	T-L08	AC-33	正常	Must	1段目フィルタ（絞り込み）	data/02の12名（店舗5店・雇用区分3種）	店舗＝渋谷店／雇用区分＝正社員／名前検索＝「田中」を順に適用	各条件で行が絞り込まれる（渋谷店＝EMP-001・002・011の3名、正社員＝6名、田中＝1名）	T-L08.png	従業員一覧	3条件の組み合わせでも正しく絞られること			1段目は「誰を探すか」の絞り込み
